ID,Input File,Run Number,Mutations Rate (%),Number of Mutations,Corrected Errors,Perfect Retrieval(0/1)
20230814031148,random300000_encoded_text.txt,54,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,55,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,56,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,57,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,58,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,59,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,60,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,61,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,62,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,63,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,64,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,65,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,66,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,67,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,68,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,69,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,70,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,71,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,72,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,73,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,74,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,75,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,76,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,77,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,78,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,79,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,80,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,81,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,82,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,83,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,84,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,85,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,86,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,87,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,88,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,89,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,90,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,91,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,92,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,93,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,94,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,95,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,96,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,97,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,98,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,99,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,100,1e-07,0,0,1
20230814031624,random500000_encoded_text.txt,1,0.001,5815,3302,0
20230814031624,random500000_encoded_text.txt,2,0.001,5815,3289,0
20230814031624,random500000_encoded_text.txt,3,0.001,5815,3359,0
20230814031624,random500000_encoded_text.txt,4,0.001,5815,3348,0
20230814031624,random500000_encoded_text.txt,5,0.001,5815,3230,0
20230814031624,random500000_encoded_text.txt,6,0.001,5815,3362,0
20230814031624,random500000_encoded_text.txt,7,0.001,5815,3308,0
20230814031624,random500000_encoded_text.txt,8,0.001,5815,3330,0
20230814031624,random500000_encoded_text.txt,9,0.001,5815,3322,0
20230814031624,random500000_encoded_text.txt,10,0.001,5815,3312,0
20230814031624,random500000_encoded_text.txt,11,0.001,5815,3399,0
20230814031624,random500000_encoded_text.txt,12,0.001,5815,3339,0
20230814031624,random500000_encoded_text.txt,13,0.001,5815,3280,0
20230814031624,random500000_encoded_text.txt,14,0.001,5815,3367,0
20230814031624,random500000_encoded_text.txt,15,0.001,5815,3315,0
20230814031624,random500000_encoded_text.txt,16,0.001,5815,3334,0
20230814031624,random500000_encoded_text.txt,17,0.001,5815,3296,0
20230814031624,random500000_encoded_text.txt,18,0.001,5815,3310,0
20230814031624,random500000_encoded_text.txt,19,0.001,5815,3258,0
20230814031624,random500000_encoded_text.txt,20,0.001,5815,3283,0
20230814031624,random500000_encoded_text.txt,21,0.001,5815,3358,0
20230814031624,random500000_encoded_text.txt,22,0.001,5815,3318,0
20230814031624,random500000_encoded_text.txt,23,0.001,5815,3382,0
20230814031624,random500000_encoded_text.txt,24,0.001,5815,3293,0
20230814031624,random500000_encoded_text.txt,25,0.001,5815,3307,0
20230814031624,random500000_encoded_text.txt,26,0.001,5815,3323,0
20230814031624,random500000_encoded_text.txt,27,0.001,5815,3296,0
20230814031624,random500000_encoded_text.txt,28,0.001,5815,3303,0
20230814031624,random500000_encoded_text.txt,29,0.001,5815,3401,0
20230814031624,random500000_encoded_text.txt,30,0.001,5815,3359,0
20230814031624,random500000_encoded_text.txt,31,0.001,5815,3349,0
20230814031624,random500000_encoded_text.txt,32,0.001,5815,3315,0
20230814031624,random500000_encoded_text.txt,33,0.001,5815,3309,0
20230814031624,random500000_encoded_text.txt,34,0.001,5815,3323,0
20230814031624,random500000_encoded_text.txt,35,0.001,5815,3318,0
20230814031624,random500000_encoded_text.txt,36,0.001,5815,3295,0
20230814031624,random500000_encoded_text.txt,37,0.001,5815,3323,0
20230814031624,random500000_encoded_text.txt,38,0.001,5815,3277,0
20230814031624,random500000_encoded_text.txt,39,0.001,5815,3298,0
20230814031624,random500000_encoded_text.txt,40,0.001,5815,3322,0
20230814031624,random500000_encoded_text.txt,41,0.001,5815,3285,0
20230814031624,random500000_encoded_text.txt,42,0.001,5815,3334,0
20230814031624,random500000_encoded_text.txt,43,0.001,5815,3362,0
20230814031624,random500000_encoded_text.txt,44,0.001,5815,3359,0
20230814031624,random500000_encoded_text.txt,45,0.001,5815,3273,0
20230814031624,random500000_encoded_text.txt,46,0.001,5815,3287,0
20230814031624,random500000_encoded_text.txt,47,0.001,5815,3348,0
20230814031624,random500000_encoded_text.txt,48,0.001,5815,3362,0
20230814031624,random500000_encoded_text.txt,49,0.001,5815,3374,0
20230814031624,random500000_encoded_text.txt,50,0.001,5815,3336,0
20230814031624,random500000_encoded_text.txt,51,0.001,5815,3254,0
20230814031624,random500000_encoded_text.txt,52,0.001,5815,3283,0
20230814031624,random500000_encoded_text.txt,53,0.001,5815,3350,0
20230814031624,random500000_encoded_text.txt,54,0.001,5815,3312,0
20230814031624,random500000_encoded_text.txt,55,0.001,5815,3313,0
20230814031624,random500000_encoded_text.txt,56,0.001,5815,3282,0
20230814031624,random500000_encoded_text.txt,57,0.001,5815,3280,0
20230814031624,random500000_encoded_text.txt,58,0.001,5815,3231,0
20230814031624,random500000_encoded_text.txt,59,0.001,5815,3321,0
20230814031624,random500000_encoded_text.txt,60,0.001,5815,3272,0
20230814031624,random500000_encoded_text.txt,61,0.001,5815,3348,0
20230814031624,random500000_encoded_text.txt,62,0.001,5815,3321,0
20230814031624,random500000_encoded_text.txt,63,0.001,5815,3272,0
20230814031624,random500000_encoded_text.txt,64,0.001,5815,3326,0
20230814031624,random500000_encoded_text.txt,65,0.001,5815,3316,0
20230814031624,random500000_encoded_text.txt,66,0.001,5815,3344,0
20230814031624,random500000_encoded_text.txt,67,0.001,5815,3386,0
20230814031624,random500000_encoded_text.txt,68,0.001,5815,3356,0
20230814031624,random500000_encoded_text.txt,69,0.001,5815,3375,0
20230814031624,random500000_encoded_text.txt,70,0.001,5815,3311,0
20230814031624,random500000_encoded_text.txt,71,0.001,5815,3247,0
20230814031624,random500000_encoded_text.txt,72,0.001,5815,3308,0
20230814031624,random500000_encoded_text.txt,73,0.001,5815,3325,0
20230814031624,random500000_encoded_text.txt,74,0.001,5815,3306,0
20230814031624,random500000_encoded_text.txt,75,0.001,5815,3311,0
20230814031624,random500000_encoded_text.txt,76,0.001,5815,3352,0
20230814031624,random500000_encoded_text.txt,77,0.001,5815,3280,0
20230814031624,random500000_encoded_text.txt,78,0.001,5815,3324,0
20230814031624,random500000_encoded_text.txt,79,0.001,5815,3395,0
20230814031624,random500000_encoded_text.txt,80,0.001,5815,3373,0
20230814031624,random500000_encoded_text.txt,81,0.001,5815,3322,0
20230814031624,random500000_encoded_text.txt,82,0.001,5815,3299,0
20230814031624,random500000_encoded_text.txt,83,0.001,5815,3336,0
20230814031624,random500000_encoded_text.txt,84,0.001,5815,3315,0
20230814031624,random500000_encoded_text.txt,85,0.001,5815,3343,0
20230814031624,random500000_encoded_text.txt,86,0.001,5815,3370,0
20230814031624,random500000_encoded_text.txt,87,0.001,5815,3313,0
20230814031624,random500000_encoded_text.txt,88,0.001,5815,3330,0
20230814031624,random500000_encoded_text.txt,89,0.001,5815,3304,0
20230814031624,random500000_encoded_text.txt,90,0.001,5815,3320,0
20230814031624,random500000_encoded_text.txt,91,0.001,5815,3340,0
20230814031624,random500000_encoded_text.txt,92,0.001,5815,3283,0
20230814031624,random500000_encoded_text.txt,93,0.001,5815,3328,0
20230814031624,random500000_encoded_text.txt,94,0.001,5815,3321,0
20230814031624,random500000_encoded_text.txt,95,0.001,5815,3261,0
20230814031624,random500000_encoded_text.txt,96,0.001,5815,3319,0
20230814031624,random500000_encoded_text.txt,97,0.001,5815,3286,0
20230814031624,random500000_encoded_text.txt,98,0.001,5815,3322,0
20230814031624,random500000_encoded_text.txt,99,0.001,5815,3309,0
20230814031624,random500000_encoded_text.txt,100,0.001,5815,3268,0
20230814032342,random500000_encoded_text.txt,1,0.0005,2907,1689,0
20230814032342,random500000_encoded_text.txt,2,0.0005,2907,1683,0
20230814032342,random500000_encoded_text.txt,3,0.0005,2907,1670,0
20230814032342,random500000_encoded_text.txt,4,0.0005,2907,1651,0
20230814032342,random500000_encoded_text.txt,5,0.0005,2907,1644,0
